Date,Time,open,close,high,low,open_day,close_day,high_day,low_day,rsi_daily,volume_daily,ATR_daily,AvgATR_50,slowK,slowD
1200305,2300,100.72,106.72,110.72,98.56,100.72,106.72,110.72,98.56,77.85,30423842.00,18.72,4.22,90.14,85.78
1200306,2300,126.64,119.28,130.72,116.95999999999999,126.64,119.28,130.72,116.95999999999999,81.65,35199250.00,24.00,4.68,86.85,86.92
1200309,2300,162.59999999999999,147.84,164.68000000000001,140.63999999999999,162.59999999999999,147.84,164.68000000000001,140.63999999999999,87.08,18692988.00,45.40,5.58,86.83,87.94
1200310,2300,132.0,136.44,148.63999999999999,131.08000000000001,132.0,136.44,148.63999999999999,131.08000000000001,77.25,14979185.00,17.56,5.91,81.08,84.92
1200311,2300,147.36000000000001,154.63999999999999,157.80000000000001,145.40000000000001,147.36000000000001,154.63999999999999,157.80000000000001,145.40000000000001,80.95,12335199.00,21.36,6.30,83.25,83.72
1200312,2300,180.40000000000001,189.44,195.12,166.19999999999999,180.40000000000001,189.44,195.12,166.19999999999999,85.73,16277034.00,40.48,7.05,87.36,83.89
1200313,2300,168.52000000000001,172.80000000000001,197.72,168.08000000000001,168.52000000000001,172.80000000000001,197.72,168.08000000000001,75.92,16477368.00,29.64,7.56,88.93,86.51
1200316,2300,219.68000000000001,236.84,247.88,206.16,219.68000000000001,236.84,247.88,206.16,83.67,12150029.00,75.08,9.01,90.43,88.91
1200317,2300,230.31999999999999,234.03999999999999,250.47999999999999,216.91999999999999,230.31999999999999,234.03999999999999,250.47999999999999,216.91999999999999,82.42,12297963.00,33.56,9.59,88.98,89.45
1200318,2300,263.80000000000001,276.0,315.36000000000001,247.40000000000001,263.80000000000001,276.0,315.36000000000001,247.40000000000001,85.83,18955560.00,81.32,11.16,88.41,89.28
1200319,2300,292.39999999999998,248.0,307.60000000000002,223.59999999999999,292.39999999999998,248.0,307.60000000000002,223.59999999999999,75.33,20707422.00,84.00,12.80,80.52,85.97
1200320,2300,237.52000000000001,242.19999999999999,252.31999999999999,210.08000000000001,237.52000000000001,242.19999999999999,252.31999999999999,210.08000000000001,73.32,14763444.00,42.24,13.59,74.05,80.99
1200323,2300,228.03999999999999,204.52000000000001,236.16,197.0,228.03999999999999,204.52000000000001,236.16,197.0,61.83,9849439.00,45.20,14.44,63.38,72.65
1200324,2300,167.44,188.59999999999999,190.96000000000001,158.0,167.44,188.59999999999999,190.96000000000001,158.0,57.71,9108257.00,46.52,15.34,53.77,63.73
1200325,2300,192.03999999999999,203.59999999999999,210.68000000000001,190.68000000000001,192.03999999999999,203.59999999999999,210.68000000000001,190.68000000000001,60.39,6339337.00,22.08,15.76,45.38,54.18
1200326,2300,196.59999999999999,182.47999999999999,198.84,182.44,196.59999999999999,182.47999999999999,198.84,182.44,55.10,7809344.00,21.16,16.15,38.05,45.73
